datetime,ax,ay,az
2026/4/18 19:52:30.8826,0.639600,0.062400,0.834600
2026/4/18 19:52:30.8926,0.635700,0.054600,0.830700
2026/4/18 19:52:30.9026,0.635700,0.058500,0.830700
2026/4/18 19:52:30.9126,0.635700,0.058500,0.834600
2026/4/18 19:52:30.9226,0.635700,0.054600,0.838500
2026/4/18 19:52:30.9326,0.631800,0.062400,0.842400
2026/4/18 19:52:30.9426,0.635700,0.058500,0.834600
2026/4/18 19:52:30.9526,0.631800,0.054600,0.834600
2026/4/18 19:52:30.9626,0.635700,0.058500,0.834600
2026/4/18 19:52:30.9726,0.635700,0.058500,0.834600
2026/4/18 19:52:30.9826,0.639600,0.058500,0.834600
2026/4/18 19:52:30.9926,0.635700,0.058500,0.830700
2026/4/18 19:52:31.0026,0.635700,0.058500,0.834600
2026/4/18 19:52:31.0126,0.631800,0.062400,0.834600
2026/4/18 19:52:31.0226,0.635700,0.054600,0.834600
2026/4/18 19:52:31.0326,0.631800,0.062400,0.830700
2026/4/18 19:52:31.0426,0.635700,0.066300,0.838500
2026/4/18 19:52:31.0526,0.635700,0.050700,0.830700
2026/4/18 19:52:31.1746,0.635700,0.058500,0.834600
2026/4/18 19:52:31.1846,0.635700,0.058500,0.834600
2026/4/18 19:52:31.1946,0.639600,0.058500,0.834600
2026/4/18 19:52:31.2046,0.635700,0.058500,0.830700
2026/4/18 19:52:31.2146,0.631800,0.058500,0.830700
2026/4/18 19:52:31.2246,0.635700,0.058500,0.830700
2026/4/18 19:52:31.2346,0.631800,0.062400,0.830700
2026/4/18 19:52:31.2446,0.635700,0.062400,0.834600
2026/4/18 19:52:31.2546,0.631800,0.058500,0.834600
2026/4/18 19:52:31.2646,0.635700,0.054600,0.830700
2026/4/18 19:52:31.2746,0.631800,0.058500,0.838500
2026/4/18 19:52:31.2846,0.631800,0.054600,0.834600
2026/4/18 19:52:31.2946,0.631800,0.054600,0.838500
2026/4/18 19:52:31.3046,0.639600,0.054600,0.834600
2026/4/18 19:52:31.3146,0.631800,0.058500,0.834600
2026/4/18 19:52:31.3246,0.639600,0.058500,0.838500
2026/4/18 19:52:31.3346,0.627900,0.058500,0.838500
2026/4/18 19:52:31.3446,0.631800,0.054600,0.834600
2026/4/18 19:52:31.3546,0.635700,0.058500,0.838500
2026/4/18 19:52:31.3646,0.635700,0.058500,0.834600
